,state,Actions Rewards
143,"([(20.0, 24), (19.0, 22.0)], 4, [(10.0, 18.0), (19.0, 22.0)], 1)",[-47.82918497 -50.53712543 -50.02014872]
144,"([(3.0, 12.0), (19.0, 22.0)], 4, [(0, 2.0), (19.0, 22.0)], 1)",[0. 0. 0.]
145,"([(19.0, 22.0), (0, 0.0)], 4, [(19.0, 22.0), (2.0, 10.0)], 2)",[-47.03355769 -50.1554275  -33.1600768 ]
146,"([(19.0, 22.0), (4.0, 12.0)], 4, [(19.0, 22.0), (14.0, 22.0)], 2)",[-44.26473767 -34.30062577 -52.80508911]
147,"([(9.0, 17.0), (1.0, 4.0)], 4, [(19.0, 24), (1.0, 4.0)], 1)",[-0.2325359  -0.23606559 -0.23578218]
148,"([(2.0, 10.0), (19.0, 22.0)], 4, [(0, 0.0), (19.0, 22.0)], 1)",[0. 0. 0.]
149,"([(1.0, 4.0), (24.0, 24)], 4, [(1.0, 4.0), (14.0, 23.0)], 3)",[-0.89724268 -0.89513158 -0.90057816]
150,"([(19.0, 22.0), (3.0, 12.0)], 4, [(19.0, 22.0), (13.0, 22.0)], 2)",[-53.92852907 -15.54272984 -60.02208747]
151,"([(1.0, 4.0), (24.0, 24)], 4, [(1.0, 4.0), (14.0, 22.0)], 3)",[-0.96437063 -0.96344316 -0.96774864]
152,"([(1.0, 4.0), (12.0, 21.0)], 4, [(1.0, 4.0), (2.0, 11.0)], 3)",[-0.51899528 -0.51881165 -0.51506026]
153,"([(1.0, 4.0), (14.0, 23.0)], 4, [(1.0, 4.0), (4.0, 13.0)], 1)",[-0.67356545 -0.74514931 -0.61742492]
154,"([(0, 1.0), (1.0, 4.0)], 4, [(2.0, 11.0), (1.0, 4.0)], 2)",[-407.28220116 -267.86175497 -392.15837527]
155,"([(8.0, 16.0), (19.0, 22.0)], 4, [(0, 6.0), (19.0, 22.0)], 1)",[-11.84782326  -0.24826336  -0.24324303]
156,"([(1.0, 4.0), (20.0, 24)], 4, [(1.0, 4.0), (10.0, 19.0)], 1)",[-1.20528918 -1.0319098  -1.01814201]
157,"([(13.0, 22.0), (19.0, 22.0)], 4, [(3.0, 12.0), (19.0, 22.0)], 1)",[-9.26359972 -8.58106631 -8.71436392]
158,"([(2.0, 11.0), (19.0, 22.0)], 4, [(0, 1.0), (19.0, 22.0)], 1)",[0. 0. 0.]
159,"([(1.0, 4.0), (21.0, 24)], 4, [(1.0, 4.0), (11.0, 20.0)], 1)",[-0.56272675 -0.54630011 -0.5501203 ]
160,"([(1.0, 4.0), (13.0, 21.0)], 4, [(1.0, 4.0), (3.0, 11.0)], 1)",[-3.28549158 -1.07762509 -2.90707395]
161,"([(19.0, 22.0), (0, 4.0)], 4, [(19.0, 22.0), (5.0, 14.0)], 1)",[-23.89861414 -26.8222478  -25.80958739]
162,"([(1.0, 4.0), (1.0, 9.0)], 4, [(1.0, 4.0), (0, -1.0)], 1)",[0. 0. 0.]
163,"([(1.0, 4.0), (18.0, 24)], 4, [(1.0, 4.0), (8.0, 16.0)], 2)",[-0.75370271 -0.72546925 -0.75329336]
164,"([(1.0, 4.0), (12.0, 21.0)], 4, [(1.0, 4.0), (2.0, 11.0)], 2)",[-0.52533093 -0.50904631 -0.52834294]
165,"([(1.0, 4.0), (6.0, 15.0)], 4, [(1.0, 4.0), (0, 5.0)], 2)",[-0.27308922 -0.25434229 -0.27316701]
166,"([(22.0, 24), (19.0, 22.0)], 4, [(12.0, 20.0), (19.0, 22.0)], 2)",[-436.43839853 -429.80788026 -198.31277233]
167,"([(8.0, 17.0), (19.0, 22.0)], 4, [(0, 7.0), (19.0, 22.0)], 2)",[-128.48477544  -79.15224277 -129.16387067]
168,"([(0, 5.0), (1.0, 4.0)], 4, [(6.0, 15.0), (1.0, 4.0)], 1)",[-2.66542799 -4.99831578 -3.01326008]
169,"([(5.0, 13.0), (1.0, 4.0)], 4, [(15.0, 23.0), (1.0, 4.0)], 1)",[-1.94433482 -0.43311126 -2.67634767]
170,"([(12.0, 20.0), (1.0, 4.0)], 4, [(22.0, 24), (1.0, 4.0)], 1)",[0. 0. 0.]
171,"([(1.0, 4.0), (19.0, 24)], 4, [(1.0, 4.0), (9.0, 18.0)], 3)",[-0.22072011 -0.19865312 -0.20648107]
172,"([(1.0, 4.0), (6.0, 15.0)], 4, [(1.0, 4.0), (0, 5.0)], 3)",[-0.1541465  -0.15263362 -0.15329706]
173,"([(0, 0.0), (1.0, 4.0)], 4, [(2.0, 10.0), (1.0, 4.0)], 2)",[ -83.77532408 -108.36555021  -72.47547194]
174,"([(6.0, 15.0), (1.0, 4.0)], 4, [(16.0, 24), (1.0, 4.0)], 2)",[-154.58652901 -159.52677699  -92.35078756]
175,"([(19.0, 22.0), (0, 3.0)], 4, [(19.0, 22.0), (4.0, 13.0)], 2)",[-161.64577143 -143.28461147  -99.89272283]
176,"([(19.0, 22.0), (8.0, 16.0)], 4, [(19.0, 22.0), (18.0, 24)], 2)",[-0.27874662 -0.26206844 -0.27660876]
177,"([(16.0, 24), (19.0, 22.0)], 4, [(6.0, 14.0), (19.0, 22.0)], 1)",[-61.4149147  -60.96548016 -45.14662284]
178,"([(1.0, 4.0), (24.0, 24)], 4, [(1.0, 4.0), (14.0, 23.0)], 4)",[-0.07770658 -0.07748261 -0.08334909]
179,"([(1.0, 4.0), (14.0, 23.0)], 4, [(1.0, 4.0), (4.0, 13.0)], 4)",[-0.05139913 -0.04073199 -0.06417241]
180,"([(1.0, 4.0), (6.0, 15.0)], 4, [(1.0, 4.0), (0, 5.0)], 4)",[0. 0. 0.]
181,"([(19.0, 24), (19.0, 22.0)], 4, [(9.0, 17.0), (19.0, 22.0)], 2)",[-14.12835511 -14.4008518  -14.37173439]
182,"([(7.0, 16.0), (19.0, 22.0)], 4, [(0, 6.0), (19.0, 22.0)], 2)",[-0.27881113 -0.26507358 -0.27388095]
183,"([(19.0, 22.0), (3.0, 11.0)], 4, [(19.0, 22.0), (13.0, 21.0)], 1)",[-77.16793187 -73.72478599 -79.37394502]
184,"([(19.0, 22.0), (14.0, 23.0)], 4, [(19.0, 22.0), (24.0, 24)], 1)",[0. 0. 0.]
185,"([(7.0, 16.0), (1.0, 4.0)], 4, [(17.0, 24), (1.0, 4.0)], 1)",[-0.22520433 -0.22572661 -0.22834241]
186,"([(1.0, 4.0), (14.0, 22.0)], 4, [(1.0, 4.0), (4.0, 12.0)], 1)",[-1.49925017 -1.37175114 -0.63456655]
187,"([(8.0, 16.0), (1.0, 4.0)], 4, [(18.0, 24), (1.0, 4.0)], 2)",[-0.27150847 -0.25828863 -0.27445352]
