,state,Actions Rewards
92,"(([(19.0, 22.0), (7.0, 15.0)], 3, [(19.0, 22.0), (12.0, 20.0)], 1), ([(23.0, 24), (19.0, 22.0)], 2, [(21.0, 24), (19.0, 22.0)], 2))",[-0.0213429  -0.03336422  0.        ]
93,"(([(23.0, 24), (19.0, 22.0)], 2, [(21.0, 24), (19.0, 22.0)], 2), ([(19.0, 22.0), (7.0, 15.0)], 3, [(19.0, 22.0), (12.0, 20.0)], 1))",[-0.01287867 -0.01338212  0.        ]
94,"(([(19.0, 22.0), (8.0, 17.0)], 0, [(19.0, 22.0), (10.0, 19.0)], 1), ([(19.0, 22.0), (0, 3.0)], 4, [(19.0, 22.0), (2.0, 11.0)], 2))",[-13.73384798 -14.11235812 -16.09580372]
95,"(([(19.0, 22.0), (0, 3.0)], 4, [(19.0, 22.0), (2.0, 11.0)], 2), ([(19.0, 22.0), (8.0, 17.0)], 0, [(19.0, 22.0), (10.0, 19.0)], 1))",[-13.86368454 -14.15759471 -17.41542506]
96,"(([(7.0, 16.0), (1.0, 4.0)], 3, [(12.0, 21.0), (1.0, 4.0)], 3), ([(19.0, 22.0), (0, 8.0)], 0, [(19.0, 22.0), (2.0, 10.0)], 2))",[-69.63568687   0.           0.        ]
97,"(([(19.0, 22.0), (0, 8.0)], 0, [(19.0, 22.0), (2.0, 10.0)], 2), ([(7.0, 16.0), (1.0, 4.0)], 3, [(12.0, 21.0), (1.0, 4.0)], 3))",[-119.62268181    0.            0.        ]
98,"(([(1.0, 4.0), (6.0, 15.0)], 4, [(1.0, 4.0), (0, 7.0)], 1), ([(0, 0.0), (1.0, 4.0)], 4, [(0, 8.0), (1.0, 4.0)], 1))",[0. 0. 0.]
99,"(([(0, 0.0), (1.0, 4.0)], 4, [(0, 8.0), (1.0, 4.0)], 1), ([(1.0, 4.0), (6.0, 15.0)], 4, [(1.0, 4.0), (0, 7.0)], 1))",[0. 0. 0.]
100,"(([(19.0, 22.0), (7.0, 16.0)], 3, [(19.0, 22.0), (12.0, 21.0)], 2), ([(23.0, 24), (19.0, 22.0)], 1, [(21.0, 24), (19.0, 22.0)], 1))",[-6.97368821 -3.32877522 -6.11532051]
101,"(([(23.0, 24), (19.0, 22.0)], 1, [(21.0, 24), (19.0, 22.0)], 1), ([(19.0, 22.0), (7.0, 16.0)], 3, [(19.0, 22.0), (12.0, 21.0)], 2))",[ -0.2860139  -56.90876244  -0.26196391]
102,"(([(19.0, 22.0), (0, 8.0)], 0, [(19.0, 22.0), (2.0, 10.0)], 2), ([(7.0, 15.0), (1.0, 4.0)], 3, [(12.0, 20.0), (1.0, 4.0)], 1))",[-169.52515093  -84.9239542   -97.34225582]
103,"(([(7.0, 15.0), (1.0, 4.0)], 3, [(12.0, 20.0), (1.0, 4.0)], 1), ([(19.0, 22.0), (0, 8.0)], 0, [(19.0, 22.0), (2.0, 10.0)], 2))",[-119.5358131   -87.59349376 -105.82335302]
104,"(([(1.0, 4.0), (16.0, 24)], 0, [(1.0, 4.0), (14.0, 22.0)], 2), ([(10.0, 18.0), (19.0, 22.0)], 4, [(2.0, 10.0), (19.0, 22.0)], 1))",[-7.78024497e-03 -5.00000000e+01 -5.00000000e+01]
105,"(([(10.0, 18.0), (19.0, 22.0)], 4, [(2.0, 10.0), (19.0, 22.0)], 1), ([(1.0, 4.0), (16.0, 24)], 0, [(1.0, 4.0), (14.0, 22.0)], 2))",[-0.01027544 -0.01027544 -0.01027544]
106,"(([(1.0, 4.0), (15.0, 24)], 1, [(1.0, 4.0), (13.0, 22.0)], 2), ([(7.0, 16.0), (19.0, 22.0)], 3, [(2.0, 11.0), (19.0, 22.0)], 1))",[-117.15723945 -174.16898057    0.        ]
107,"(([(7.0, 16.0), (19.0, 22.0)], 3, [(2.0, 11.0), (19.0, 22.0)], 1), ([(1.0, 4.0), (15.0, 24)], 1, [(1.0, 4.0), (13.0, 22.0)], 2))",[ -9.08081638 -41.24638248   0.        ]
108,"(([(19.0, 22.0), (0, 2.0)], 2, [(19.0, 22.0), (0, 4.0)], 1), ([(4.0, 12.0), (1.0, 4.0)], 4, [(12.0, 20.0), (1.0, 4.0)], 2))",[-0.01391291  0.          0.        ]
109,"(([(4.0, 12.0), (1.0, 4.0)], 4, [(12.0, 20.0), (1.0, 4.0)], 2), ([(19.0, 22.0), (0, 2.0)], 2, [(19.0, 22.0), (0, 4.0)], 1))",[ 0.          0.         -0.01275578]
110,"(([(19.0, 22.0), (0, 4.0)], 2, [(19.0, 22.0), (0, 6.0)], 1), ([(7.0, 15.0), (1.0, 4.0)], 3, [(12.0, 20.0), (1.0, 4.0)], 2))",[-0.01097061  0.          0.        ]
111,"(([(7.0, 15.0), (1.0, 4.0)], 3, [(12.0, 20.0), (1.0, 4.0)], 2), ([(19.0, 22.0), (0, 4.0)], 2, [(19.0, 22.0), (0, 6.0)], 1))",[-0.01379987  0.          0.        ]
112,"(([(19.0, 22.0), (0, 0.0)], 1, [(19.0, 22.0), (0, 2.0)], 1), ([(4.0, 12.0), (1.0, 4.0)], 4, [(12.0, 20.0), (1.0, 4.0)], 2))",[-0.01563636  0.          0.        ]
113,"(([(4.0, 12.0), (1.0, 4.0)], 4, [(12.0, 20.0), (1.0, 4.0)], 2), ([(19.0, 22.0), (0, 0.0)], 1, [(19.0, 22.0), (0, 2.0)], 1))",[-0.01233507  0.          0.        ]
